frame.len,tcp.srcport,tcp.dstport,ip.proto,tcp.len,tcp.window_size,frame.time_delta,label
90,,,17,,,,0
60,,,,,,0.08527968,0
42,,,,,,0.000050442,0
90,,,17,,,0.000447836,0
75,,,17,,,4.272446867,0
75,,,17,,,0.000278967,0
95,,,17,,,0.052366291,0
95,,,17,,,0.000633873,0
263,,,17,,,0.048181528,0
275,,,17,,,0.000001241,0
293,,,17,,,0.000000199,0
305,,,17,,,0.000000144,0
74,35264,443,6,0,64240,0.002449856,0
74,35278,443,6,0,64240,0.001185347,0
74,52118,443,6,0,64240,0.000983623,0
60,443,52118,6,0,64240,0.042317177,0
54,52118,443,6,0,64240,0.000234244,0
60,443,35264,6,0,64240,0.006101394,0
54,35264,443,6,0,64240,0.000088192,0
1954,52118,443,6,1900,64240,0.004229108,0
60,443,52118,6,0,64240,0.001046692,0
60,443,52118,6,0,64240,0.000001212,0
274,35264,443,6,220,64240,0.000211861,0
60,443,35264,6,0,64240,0.001119795,0
60,443,35278,6,0,64240,0.003919404,0
54,35278,443,6,0,64240,0.000184395,0
274,35278,443,6,220,64240,0.003585589,0
60,443,35278,6,0,64240,0.001235995,0
4585,443,52118,6,4531,64240,0.041865657,0
54,52118,443,6,0,65535,0.000231474,0
118,52118,443,6,64,65535,0.029743356,0
60,443,52118,6,0,64240,0.000727158,0
146,52118,443,6,92,65535,0.001798051,0
258,52118,443,6,204,65535,0.000563066,0
310,52118,443,6,256,65535,0.000488045,0
60,443,52118,6,0,64240,0.000041318,0
60,443,52118,6,0,64240,0.000373432,0
60,443,52118,6,0,64240,0.000640515,0
2878,443,35264,6,2824,64240,0.01555101,0
241,443,35264,6,187,64240,0.000000862,0
54,35264,443,6,0,65535,0.000084689,0
54,35264,443,6,0,65535,0.000169242,0
119,443,52118,6,65,64240,0.040367025,0
3065,443,35278,6,3011,64240,0.000001187,0
54,35278,443,6,0,65535,0.000097314,0
147,35264,443,6,93,65535,0.02453426,0
60,443,35264,6,0,64240,0.000948853,0
54,52118,443,6,0,65535,0.018206921,0
85,52118,443,6,31,65535,0.00103611,0
60,443,52118,6,0,64240,0.000969341,0
147,35278,443,6,93,65535,0.029277407,0
434,443,35264,6,380,64240,0.00053538,0
54,35264,443,6,0,65535,0.000063149,0
