frame.len,tcp.srcport,tcp.dstport,ip.proto,tcp.len,tcp.window_size,frame.time_delta,1
90,,,17,,,,1
90,,,17,,,0.033023145,1
54,36606,80,6,0,64024,4.898944818,1
54,36606,80,6,0,64024,4.096009668,1
60,80,36606,6,0,64240,0.001468159,1
54,36606,80,6,0,64024,10.238635417,1
60,80,36606,6,0,64240,0.000560125,1
42,,,,,,5.119420569,1
60,,,,,,0.000664579,1
54,36606,80,6,0,64024,5.119297842,1
60,80,36606,6,0,64240,0.000350817,1
90,,,17,,,2.740546748,1
90,,,17,,,0.732039262,1
54,36606,80,6,0,64024,6.77120922,1
60,80,36606,6,0,64240,0.00060511,1
60,,,,,,4.529646149,1
60,,,,,,1.352935108,1
60,,,,,,0.660371105,1
60,,,,,,1.003448972,1
93,49092,443,6,39,65535,0.273263205,1
60,443,49092,6,0,64240,0.00053049,1
93,443,49092,6,39,64240,0.049172627,1
54,49092,443,6,0,65535,0.000098126,1
100,54372,443,6,46,65535,0.950985025,1
93,56440,443,6,39,65535,0.000254708,1
60,443,54372,6,0,64240,0.000413867,1
60,443,56440,6,0,64240,0.000000489,1
93,443,56440,6,39,64240,0.039645498,1
100,443,54372,6,46,64240,0.000000792,1
54,56440,443,6,0,65535,0.000097687,1
54,54372,443,6,0,65535,0.000107601,1
54,36606,80,6,0,64024,1.374343381,1
60,80,36606,6,0,64240,0.000370203,1
93,54798,443,6,39,65535,0.672825624,1
60,443,54798,6,0,64240,0.000840878,1
93,443,54798,6,39,64240,0.17357332,1
54,54798,443,6,0,65535,0.040532861,1
60,,,,,,2.311332725,1
60,,,,,,0.624930683,1
60,,,,,,1.001180317,1
76,,,17,,,0.650106587,1
76,,,17,,,0.000396164,1
276,,,17,,,0.049520008,1
264,,,17,,,0.000000743,1
74,48434,443,6,0,64240,0.001614175,1
60,443,48434,6,0,64240,0.017088315,1
54,48434,443,6,0,64240,0.000100031,1
255,48434,443,6,201,64240,0.000655554,1
60,443,48434,6,0,64240,0.000863598,1
1514,443,48434,6,1460,64240,0.022835426,1
1514,443,48434,6,1460,64240,0.000001228,1
117,443,48434,6,63,64240,0.00000026,1
54,48434,443,6,0,65535,0.000089951,1
54,48434,443,6,0,65535,0.00018909,1
54,48434,443,6,0,65535,0.002107166,1
147,48434,443,6,93,65535,0.00633592,1
60,443,48434,6,0,64240,0.000885587,1
312,443,48434,6,258,64240,0.160993895,1
153,48434,443,6,99,65535,0.002267161,1
372,48434,443,6,318,65535,0.000602906,1
60,443,48434,6,0,64240,0.000387017,1
60,443,48434,6,0,64240,0.000252053,1
126,443,48434,6,72,64240,0.060216143,1
92,48434,443,6,38,65535,0.00055397,1
60,443,48434,6,0,64240,0.000626631,1
60,,,,,,0.419345116,1
1514,443,48434,6,1460,64240,0.023163494,1
333,443,48434,6,279,64240,0.000000884,1
54,48434,443,6,0,65535,0.000091668,1
298,54372,443,6,244,65535,0.012517319,1
60,443,54372,6,0,64240,0.000873244,1
96,54372,443,6,42,65535,0.01206201,1
60,443,54372,6,0,64240,0.000618453,1
1514,443,54372,6,1460,64240,0.079119138,1
1514,443,54372,6,1460,64240,0.000001393,1
1514,443,54372,6,1460,64240,0.000000209,1
1402,443,54372,6,1348,64240,0.000000243,1
100,443,54372,6,46,64240,0.000000145,1
54,54372,443,6,0,65535,0.000095061,1
54,54372,443,6,0,65535,0.000155659,1
54,54372,443,6,0,65535,0.00011907,1
54,54372,443,6,0,65535,0.000254868,1
54,54372,443,6,0,65535,0.000122963,1
100,54372,443,6,46,65535,0.001159335,1
60,443,54372,6,0,64240,0.001402703,1
60,,,,,,0.478805306,1
60,,,,,,1.003102307,1
54,36606,80,6,0,64024,2.402874423,1
60,80,36606,6,0,64240,0.000367134,1
60,,,,,,2.031311691,1
60,,,,,,0.580396007,1
60,,,,,,1.007428145,1
90,,,17,,,1.151060106,1
90,,,17,,,0.033834213,1
60,,,,,,0.244195345,1
60,,,,,,0.564948151,1
60,,,,,,0.9818256,1
54,36606,80,6,0,64024,3.644380245,1
60,80,36606,6,0,64240,0.000261684,1
54,36606,80,6,0,64024,10.239682642,1
60,80,36606,6,0,64240,0.00050521,1
42,,,,,,5.119964191,1
60,,,,,,0.001116954,1
54,36606,80,6,0,64024,5.118546969,1
60,80,36606,6,0,64240,0.000697751,1
90,,,17,,,6.300203178,1
90,,,17,,,0.100475852,1
