frame.len,tcp.srcport,tcp.dstport,ip.proto,label
66,63060,5000,6,1
66,5000,63060,6,1
60,63060,5000,6,1
2090,63060,5000,6,1
54,5000,63060,6,1
1383,5000,63060,6,1
84,63060,5000,6,1
60,63060,5000,6,1
54,5000,63060,6,1
60,63060,5000,6,1
66,59541,5000,6,1
66,5000,59541,6,1
60,59541,5000,6,1
2026,59541,5000,6,1
54,5000,59541,6,1
1383,5000,59541,6,1
84,59541,5000,6,1
60,59541,5000,6,1
54,5000,59541,6,1
54,5000,59541,6,1
60,59541,5000,6,1
66,52803,5000,6,1
66,5000,52803,6,1
60,52803,5000,6,1
66,56172,5000,6,1
66,5000,56172,6,1
60,56172,5000,6,1
1819,52803,5000,6,1
54,5000,52803,6,1
1755,56172,5000,6,1
54,5000,56172,6,1
3439,5000,52803,6,1
60,52803,5000,6,1
84,52803,5000,6,1
60,52803,5000,6,1
54,5000,52803,6,1
54,5000,52803,6,1
60,52803,5000,6,1
3439,5000,56172,6,1
60,56172,5000,6,1
84,56172,5000,6,1
60,56172,5000,6,1
54,5000,56172,6,1
54,5000,56172,6,1
60,56172,5000,6,1
66,53766,5000,6,1
66,5000,53766,6,1
60,53766,5000,6,1
1755,53766,5000,6,1
54,5000,53766,6,1
3439,5000,53766,6,1
60,53766,5000,6,1
134,53766,5000,6,1
309,5000,53766,6,1
991,53766,5000,6,1
550,5000,53766,6,1
60,53766,5000,6,1
60,53766,5000,6,1
54,5000,53766,6,1
66,54456,5000,6,1
66,5000,54456,6,1
60,54456,5000,6,1
2058,54456,5000,6,1
54,5000,54456,6,1
1383,5000,54456,6,1
60,54456,5000,6,1
84,54456,5000,6,1
54,5000,54456,6,1
60,54456,5000,6,1
54,5000,54456,6,1
60,54456,5000,6,1
66,59639,5000,6,1
66,5000,59639,6,1
60,59639,5000,6,1
2026,59639,5000,6,1
54,5000,59639,6,1
1383,5000,59639,6,1
66,57940,5000,6,1
66,5000,57940,6,1
60,57940,5000,6,1
84,59639,5000,6,1
60,59639,5000,6,1
54,5000,59639,6,1
60,59639,5000,6,1
1755,57940,5000,6,1
54,5000,57940,6,1
3439,5000,57940,6,1
60,57940,5000,6,1
84,57940,5000,6,1
60,57940,5000,6,1
54,5000,57940,6,1
60,57940,5000,6,1
66,58608,5000,6,1
66,5000,58608,6,1
60,58608,5000,6,1
1851,58608,5000,6,1
54,5000,58608,6,1
3439,5000,58608,6,1
60,58608,5000,6,1
134,58608,5000,6,1
309,5000,58608,6,1
787,58608,5000,6,1
787,5000,58608,6,1
60,58608,5000,6,1
60,58608,5000,6,1
54,5000,58608,6,1
66,53990,5000,6,1
66,5000,53990,6,1
60,53990,5000,6,1
2090,53990,5000,6,1
54,5000,53990,6,1
1383,5000,53990,6,1
84,53990,5000,6,1
54,5000,53990,6,1
60,53990,5000,6,1
60,53990,5000,6,1
66,49892,5000,6,1
54,5000,53990,6,1
66,5000,49892,6,1
66,61217,5000,6,1
66,5000,61217,6,1
60,49892,5000,6,1
60,61217,5000,6,1
2090,61217,5000,6,1
54,5000,61217,6,1
1851,49892,5000,6,1
54,5000,49892,6,1
3439,5000,49892,6,1
60,49892,5000,6,1
84,49892,5000,6,1
54,5000,49892,6,1
60,49892,5000,6,1
54,5000,49892,6,1
60,49892,5000,6,1
1383,5000,61217,6,1
84,61217,5000,6,1
54,5000,61217,6,1
60,61217,5000,6,1
54,5000,61217,6,1
60,61217,5000,6,1
66,49961,5000,6,1
66,5000,49961,6,1
60,49961,5000,6,1
1787,49961,5000,6,1
54,5000,49961,6,1
3439,5000,49961,6,1
60,49961,5000,6,1
134,49961,5000,6,1
309,5000,49961,6,1
983,49961,5000,6,1
309,5000,49961,6,1
295,5000,49961,6,1
60,49961,5000,6,1
60,49961,5000,6,1
54,5000,49961,6,1
